Ticker,Date,Unix,Price,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Short Ratio,Short % of Float,NIFTY50,NIFTY50_p_change,stock_p_change
ADANIENT,2025-10-12,1760296600,2542.1,2934043049984.0,3857922654208.0,46.789986,38.67194,,3.108638,6.152331,4.087,29.601,0.06758,0.09227,,0.14343001,943835512832.0,816.548,-0.138,457953705984.0,130329403392.0,54.33,-0.511,66033401856.0,57.212,918191669248.0,162.597,,413.193,,,0.643,2397.082,2399.2515,1099178.0,1154180729.0,266523414.0,0.77475,0.15051,,,,,
ADANIPORTS,2025-10-12,1760296600,1411.3,3048604172288.0,3525360484352.0,26.989864,42.229206,,9.338613,4.8958764,10.799,18.357,0.34596002,0.46465,,,326451494912.0,151.115,0.312,216292098048.0,192045219840.0,52.29,0.065,60726198272.0,28.112,514542010368.0,79.193,,288.263,,,0.422,1370.396,1286.5728,1914070.0,2160138945.0,846018418.0,0.65911,0.23059,,,,,
APOLLOHOSP,2025-10-12,1760296601,7690.0,1105703993344.0,1167354888192.0,70.50518,94.2402,,4.903235,13.463993,5.177,39.675,0.06978,0.109069996,,,225505001472.0,1568.274,0.149,76273999872.0,29422749696.0,109.07,0.418,20103999488.0,139.82,78643003392.0,90.886,,571.153,,,0.184,7664.3,7069.547,385295.0,143784657.0,101350929.0,0.29703,0.46633998,,,,,
ASIANPAINT,2025-10-12,1760296601,2338.6,2241792311296.0,2227288145920.0,62.462612,82.81162,,6.6245546,11.562918,6.582,40.53,0.10629,0.14837,,,338406506496.0,352.993,-0.002,141632192512.0,54954725376.0,37.44,-0.06,46921699328.0,48.918,22902900736.0,11.418,,202.25,,,0.337,2473.764,2355.5708,1030125.0,958563435.0,441374863.0,0.53003,0.26521,,,,,
AXISBANK,2025-10-12,1760296602,1182.5,3669232713728.0,5208175804416.0,13.216721,11.845922,,4.7691703,1.889995,6.769,,0.36215,0.45122,0.01768,0.15557,769364983808.0,248.573,-0.017,769364983808.0,,89.47,-0.031,656061169664.0,211.727,2199916380160.0,,,625.663,,,0.447,1102.194,1105.7166,7690398.0,3102945384.0,2787085057.0,0.022909999,0.67359,,,,,
BAJAJ-AUTO,2025-10-12,1760296602,8943.0,2496966950912.0,2498917302272.0,32.8823,52.23105,,4.6903877,7.097157,4.694,19.933,0.14264,0.23341998,,,532358299648.0,1907.211,0.112,173819707392.0,125365551104.0,271.97,0.136,92011798528.0,329.487,92550799360.0,26.301,,1260.082,,,0.741,8757.85,8393.83,396188.0,279185682.0,113850534.0,0.58696,0.15628,,,,,
BAJFINANCE,2025-10-12,1760296603,1025.0,6367698485248.0,9182523686912.0,36.54189,24.46289,,16.42193,6.580975,23.681,,0.44939,0.60695,,0.20079,387755802624.0,62.608,0.201,359646691328.0,,28.05,0.197,106489004032.0,17.153,2910303289344.0,294.158,,155.752,,,0.5,942.403,891.26294,7454653.0,6212388900.0,2640162674.0,0.54908,0.25252,,,,,
BAJAJFINSV,2025-10-12,1760296603,2008.5,3206061752320.0,6452083687424.0,34.08281,40.649666,,2.364208,4.427881,4.758,12.65,0.07023,0.40112,,0.16087,1356082839552.0,850.155,0.129,683767889920.0,510060232704.0,58.93,0.301,147385401344.0,92.478,2844741074944.0,221.494,,453.603,,,0.615,1991.446,1941.05,1035881.0,1596246827.0,579468965.0,0.64214,0.13839,,,,,
BHARTIARTL,2025-10-12,1760296604,1940.0,11629732298752.0,14045249798144.0,32.898083,28.86301,,6.3225203,9.868303,7.636,15.272,0.19215,0.31081,0.07039,0.29464,1839413985280.0,317.559,0.285,1210653999104.0,919648993280.0,58.97,0.418,212641005568.0,34.916,2033544986624.0,126.505,0.424,196.589,1072185999360.0,252356493312.0,0.109,1907.128,1813.9955,6148486.0,5698042286.0,2806054343.0,0.53416,0.32497,,,,,
BPCL,2025-10-12,1760296604,338.4,1468150317056.0,1978026295296.0,8.339083,10.916129,,0.3338766,1.8039726,0.45,6.931,0.039419997,0.0692,,,4397283934208.0,1029.26,-0.005,592366600192.0,285408165888.0,40.58,1.408,102431203328.0,23.61,611005693952.0,75.077,,187.586,,,0.909,323.114,302.4881,6003954.0,4338505488.0,1848290151.0,0.54504,0.27645,,,,,
